ATLETA;RATING
HEITOR MELLO;428, 440, 461
HEITOR SILVA;534
HELENO AMARAL;196, 181
HENRIQUE ITO;212
HENRIQUE KUMAGAI;757, 763, 763
HERNANI NIGRIN;2056, 2014, 2002, 1996
HILDA ENDO;886
HILTON BRANDÁO;1426, 1429
HOON SHIM;3264, 3273
HUGO CAWASHIMA;607, 592, 619, 646
IAN JUNIOR;256, 229, 247, 271, 304, 271
IGOR CECHET;183, 225, 252, 234
IGOR GAVAZZONI;1390, 1390, 1390
IOLANDA LOBATO;927, 954
ISABELA DOI;262
ISABELA HAAB;846, 846, 846
ISABELA OLIVEIRA;606, 597
ISABELLA COSTA;136, 160, 157
ISABELLE TANAKA;1198, 1183, 1183
ISABELLY PASSOS;508, 532
ISABELLY RIOS;2056, 2059, 2059
ISADHORA FERREIRA;606, 615, 627
ISADORA RIBEIRO;259, 259, 274
ITALO NISHIMORI;1849, 1783
ÍTALO RAMIREZ;266, 293
IZABEL TANAMATI;402
JACOBO TABORDA;891
JACSSON NASCIMENTO;277, 250
JANDI BARBOSA;462, 450, 435
JANDIR MOTTER;950, 935, 935
JASMIM BLANCO;133, 133, 115
JHEISON BORGES;795, 816, 840
JOÃO CEZARIO;211, 196, 286, 253
JOÃO GOLEMBA;1257, 1257, 1257
JOÃO GONÇALVES;610, 664, 649
JOÃO HAMAMOTO;1674, 1671, 1671, 1611
JOÃO ITARUCZAK;708, 732, 750
JOÃO MAGAGNIN;67, 58, 46
JOÃO OLIVEIRA;490, 514, 535
JOÃO RODRIGUES;183, 225, 210
JOÃO SALES;58, 49
JOÃO SCHAKOFSKI;565, 544, 532
JOÃO SCHERER;0
JOÃO TRZASKOS;344, 311, 332, 347, 368
JOÃO ZILIO;651, 648, 639
JOAQUIM MANTOVANI;316, 340
JOAQUIM PRADO;232, 229, 211
JORGE NISHITANI;555, 549
JOSÉ DEZIE;911, 902
JOSÉ MILLÉO;223, 250, 217, 196
JOSÉ ROMITTI;212, 245, 227, 248, 281
JOSÉ SILVA;657, 642, 606, 588
JOSIMAR SILVEIRA;2087
JULIA COITO;828, 816
JULIA DA SILVA;0, 0
JULIA SILVA;508
JULIANA MILLÉO;878, 860
JULIO RODRIGUES;1077
JULLY NAGAO;1822, 1822, 1831
KAMILY ZANATTA;370, 334, 355, 325
KAROLINE GRUCHOSKI;3330, 3333, 3336
KAYO PROFIRO;250
KEIITI SUGUIMATI;785, 794
KEVIN OLIVEIRA;2620, 2611
LAM FAI;410, 392, 368
LAURA MAROZ;85, 85, 67
LAURA MENDES;217, 193, 184
LAURA OLIVEIRA;0, 60, 96
LAURA SILVEIRA;2162, 2165
LAURA SOUZA;250, 232, 262, 250
LAURA.NISHITANI OLIVEIRA;704
LAVINIA GUSSO;224, 260, 239, 221
LEANDRO FILHO;803, 761, 743
LEANDRO SILVA;1123, 1075, 1084
LEONARDO AMARAL;250, 340, 361, 376, 343
LEONARDO CAMARGO;142, 130
LEONARDO INOUE;985
LEONARDO RAMIREZ;598, 619, 601, 625
LEONARDO SUPERTI;364, 400, 385, 421
LETÍCIA DOMINGUES;991, 1009
LETICIA JAREMTCHUK;2459, 2462, 2402
LETÍCIA JÚLIO;1461, 1464
LETÍCIA NOGUTI;682
LINCON GROSSE;166, 154
LIVIA DUTKO;1448, 1451
LIZ OKUZONO;396, 417, 432, 450
LOHAN OLIVEIRA;343, 364, 385
LORENZO HORST;944, 1013, 1028
LUAN MONTEIRO;1624, 1630, 1636
LUANA NODA;73
LUCAS KASUGA;898
LUCAS MAEDA;672, 681, 714
LUCAS PAULA;238, 214, 232, 217
LUCAS SANTOS;375
LUCAS TAVARES;1761, 1773
LUCCA LIMA;790
LUÍS MARCHAUKOWSKI;1249, 1261, 1240
LUIS RIBEIRO;1214
LUÍS SCHEREDA;468, 489, 456, 480, 507
LUISA BREY;441, 489
LUIZ BILOBRAN;2358
LUIZ HARDT;1387, 1381, 1369
LUIZ JUSTINA;261, 288, 264, 282, 315
LUIZ OLIVEIRA;103, 88
LUIZ OYAMA;1433, 1424
LUIZ SHIOMI;986, 992
MANOELA BARBOSA;43
MANSUR JOMAA;817, 823, 817
MANUELA DOI;336, 321
MARCELA KAWANO;322, 346, 367, 388
MARCELO KUMAGAI;1458
MARCIO GOUVEA;1443, 1440
MÁRCIO JAMBERSI;111, 99
MARCIO WATANABE;242, 242
MARCOS HAYASHIDA;880, 880
MARIA ALVES;2849, 2852
MARIA CRUZ;226, 202, 187
MARIA MAIA;250, 235, 265, 250
MARIA MENDES;3071, 3074, 3077
MARIA SILVA;483
MARIANA CAMARGO;446, 446, 467
MARLOM SCHMITT;249, 282, 303, 255, 291, 327
MARTIM AMARAL;433, 445
